timestamp,interval_end,actual_intensity,forecast_intensity,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind,hour,day_of_week,month,day_of_year,is_weekend,factor_biomass,factor_coal,factor_dutch_imports,factor_french_imports,factor_gas_combined_cycle,factor_gas_open_cycle,factor_hydro,factor_irish_imports,factor_nuclear,factor_oil,factor_other,factor_pumped_storage,factor_solar,factor_wind,intensity_index_low
2026-03-25 05:00:00+00:00,2026-03-25 05:30:00+00:00,31,28,4.2,0,1.5,5.1,14.7,0,0,0.2,74.2,5,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 05:30:00+00:00,2026-03-25 06:00:00+00:00,35,28,4.0,0,6.6,4.9,13.9,0,0,0.0,70.6,5,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 06:00:00+00:00,2026-03-25 06:30:00+00:00,39,24,4.0,0,6.9,4.9,13.8,0,0,0.2,70.2,6,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 06:30:00+00:00,2026-03-25 07:00:00+00:00,42,34,3.8,0,9.0,4.2,13.5,0,0,1.5,68.0,6,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 07:00:00+00:00,2026-03-25 07:30:00+00:00,41,35,3.2,0,8.9,4.2,13.1,0,0,3.7,66.8,7,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 07:30:00+00:00,2026-03-25 08:00:00+00:00,38,35,3.1,0,10.1,3.9,12.6,0,0,6.4,64.0,7,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 08:00:00+00:00,2026-03-25 08:30:00+00:00,36,33,3.0,0,9.6,3.7,12.1,0,0,9.4,62.2,8,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 08:30:00+00:00,2026-03-25 09:00:00+00:00,37,30,3.0,0,5.7,3.8,12.2,0,0,12.1,63.2,8,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 09:00:00+00:00,2026-03-25 09:30:00+00:00,34,27,2.9,0,5.4,3.7,11.8,0,0,15.2,60.9,9,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 09:30:00+00:00,2026-03-25 10:00:00+00:00,33,29,2.7,0,6.1,3.5,11.2,0,0,17.6,58.9,9,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 10:00:00+00:00,2026-03-25 10:30:00+00:00,32,30,2.7,0,5.9,3.4,11.0,0,0,19.6,57.4,10,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 10:30:00+00:00,2026-03-25 11:00:00+00:00,34,32,2.6,0,5.4,3.3,10.7,0,0,21.6,56.4,10,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 11:00:00+00:00,2026-03-25 11:30:00+00:00,34,30,2.6,0,5.3,3.2,10.5,0,0,22.6,55.8,11,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 11:30:00+00:00,2026-03-25 12:00:00+00:00,35,31,2.5,0,6.4,3.1,10.3,0,0,22.4,55.2,11,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 12:00:00+00:00,2026-03-25 12:30:00+00:00,33,32,2.5,0,6.8,2.5,10.3,0,0,22.8,55.1,12,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 12:30:00+00:00,2026-03-25 13:00:00+00:00,32,33,2.5,0,7.6,2.2,10.2,0,0,22.8,54.6,12,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 13:00:00+00:00,2026-03-25 13:30:00+00:00,33,32,2.5,0,7.7,2.3,10.4,0,0,21.6,55.5,13,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 13:30:00+00:00,2026-03-25 14:00:00+00:00,34,30,2.7,0,6.3,2.3,10.6,0,0,21.6,56.6,13,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 14:00:00+00:00,2026-03-25 14:30:00+00:00,34,30,2.8,0,5.9,2.5,10.9,0,0,20.3,57.6,14,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 14:30:00+00:00,2026-03-25 15:00:00+00:00,25,29,2.9,0,8.1,2.7,11.0,0,0,18.3,57.0,14,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 15:00:00+00:00,2026-03-25 15:30:00+00:00,32,27,3.0,0,8.4,4.1,11.1,0,0,17.4,56.0,15,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 15:30:00+00:00,2026-03-25 16:00:00+00:00,40,22,3.2,0,9.0,5.6,11.4,0,0,14.3,56.4,15,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 16:00:00+00:00,2026-03-25 16:30:00+00:00,52,30,3.3,0,9.4,8.4,11.8,0,0,11.1,56.0,16,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
2026-03-25 16:30:00+00:00,2026-03-25 17:00:00+00:00,60,33,3.3,0,9.4,8.4,12.0,0,0,11.1,55.9,16,2,3,84,0,120,937,474,53,394,651,0,458,0,935,300,0,0,0,True
