timestamp,interval_end,actual_intensity,forecast_intensity,intensity_index,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind,factor_biomass,factor_coal,factor_dutch_imports,factor_french_imports,factor_gas_combined_cycle,factor_gas_open_cycle,factor_hydro,factor_irish_imports,factor_nuclear,factor_oil,factor_other,factor_pumped_storage,factor_solar,factor_wind
2020-11-19 21:30:00+00:00,2020-11-19 22:00:00+00:00,187.0,221.0,moderate,9.1,0.0,11.0,44.0,18.2,0.0,3.1,0.0,14.6,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2020-05-28 08:30:00+00:00,2020-05-28 09:00:00+00:00,134.0,155.0,low,10.8,0.0,12.1,29.8,17.9,0.0,1.6,20.5,7.2,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2021-05-23 21:30:00+00:00,2021-05-23 22:00:00+00:00,103.0,103.0,low,9.5,0.0,10.6,22.8,18.0,0.0,1.0,0.0,38.1,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2024-01-14 05:00:00+00:00,2024-01-14 05:30:00+00:00,196.0,209.0,high,4.3,3.7,16.8,37.4,12.0,0.0,0.4,0.0,25.4,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2021-09-06 05:00:00+00:00,2021-09-06 05:30:00+00:00,261.0,247.0,high,7.2,0.4,18.4,51.2,18.9,0.0,0.4,0.0,3.5,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2021-11-11 02:30:00+00:00,2021-11-11 03:00:00+00:00,206.0,208.0,moderate,8.7,0.0,6.5,45.5,22.7,0.0,1.6,0.0,14.9,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2024-07-23 13:30:00+00:00,2024-07-23 14:00:00+00:00,123.0,123.0,moderate,7.4,0.0,13.2,29.8,13.3,0.0,0.6,21.8,14.0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2022-03-23 18:00:00+00:00,2022-03-23 18:30:00+00:00,282.0,281.0,high,6.3,5.0,5.6,55.1,16.0,0.0,7.9,0.2,3.9,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2020-07-03 23:30:00+00:00,2020-07-04 00:00:00+00:00,91.0,111.0,low,6.8,0.0,3.4,19.9,26.2,0.0,1.7,0.0,42.1,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2023-07-15 10:30:00+00:00,2023-07-15 11:00:00+00:00,54.0,50.0,low,4.4,0.0,3.2,9.8,14.5,0.0,0.1,18.9,49.0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2022-04-04 09:30:00+00:00,2022-04-04 10:00:00+00:00,150.0,157.0,moderate,4.9,2.4,6.6,27.4,12.6,0.0,0.7,4.0,41.4,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2020-05-14 12:00:00+00:00,2020-05-14 12:30:00+00:00,123.0,131.0,low,6.8,0.0,11.3,25.7,17.9,0.0,0.7,24.5,13.1,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2020-08-28 07:00:00+00:00,2020-08-28 07:30:00+00:00,226.0,197.0,moderate,3.3,0.0,9.9,46.5,12.7,0.0,1.6,3.8,22.2,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2025-11-28 18:30:00+00:00,2025-11-28 19:00:00+00:00,98.0,100.0,low,8.7,0.0,7.9,18.4,10.8,0.0,0.0,0.0,54.3,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2023-02-12 02:00:00+00:00,2023-02-12 02:30:00+00:00,180.0,182.0,moderate,7.8,0.0,21.9,36.9,13.6,0.0,1.9,0.0,17.8,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2025-02-23 11:00:00+00:00,2025-02-23 11:30:00+00:00,55.0,51.0,low,3.7,0.0,9.4,9.0,13.2,0.0,0.0,4.2,60.4,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2022-10-21 21:00:00+00:00,2022-10-21 21:30:00+00:00,173.0,158.0,moderate,1.3,0.0,1.8,42.3,14.2,0.0,1.1,0.0,39.3,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2021-07-30 06:30:00+00:00,2021-07-30 07:00:00+00:00,221.0,212.0,high,8.0,3.2,14.1,44.6,12.2,0.0,0.8,2.1,15.0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2024-10-16 11:00:00+00:00,2024-10-16 11:30:00+00:00,157.0,143.0,moderate,8.1,0.0,7.2,35.1,11.1,0.0,1.2,4.7,32.5,120,937,474,53,394,651,0,458,0,935,300,0,0,0
2025-02-08 23:00:00+00:00,2025-02-08 23:30:00+00:00,178.0,192.0,moderate,11.9,0.0,21.4,36.5,15.8,0.0,0.4,0.0,14.0,120,937,474,53,394,651,0,458,0,935,300,0,0,0
