combo_index,model_family,params,rmse,fit_seconds,cumulative_seconds,approach
1,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 1}",11.25829191006561,8.352315899999667,8.352315899999667,Manual Grid Search (no MLflow / no AutoML)
2,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 2}",11.230069138034635,8.649307199997565,17.001623099997232,Manual Grid Search (no MLflow / no AutoML)
3,random_forest,"{'n_estimators': 100, 'max_depth': 10, 'min_samples_leaf': 4}",11.122561242178431,7.428831699999137,24.43045479999637,Manual Grid Search (no MLflow / no AutoML)
4,random_forest,"{'n_estimators': 100, 'max_depth': 14, 'min_samples_leaf': 1}",10.909239707308128,11.853126600002724,36.28358139999909,Manual Grid Search (no MLflow / no AutoML)
5,random_forest,"{'n_estimators': 100, 'max_depth': 14, 'min_samples_leaf': 2}",10.784485501627925,11.75342869999804,48.03701009999713,Manual Grid Search (no MLflow / no AutoML)
6,random_forest,"{'n_estimators': 100, 'max_depth': 14, 'min_samples_leaf': 4}",10.609072429829165,11.191569499998877,59.22857959999601,Manual Grid Search (no MLflow / no AutoML)
7,random_forest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 1}",10.954772059686457,18.325825200001418,77.55440479999743,Manual Grid Search (no MLflow / no AutoML)
8,random_forest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 2}",10.798452798714973,15.263266800000565,92.817671599998,Manual Grid Search (no MLflow / no AutoML)
9,random_forest,"{'n_estimators': 100, 'max_depth': None, 'min_samples_leaf': 4}",10.568392700463445,13.36885230000189,106.18652389999988,Manual Grid Search (no MLflow / no AutoML)
10,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 1}",11.260119904895607,22.384319500000856,128.57084340000074,Manual Grid Search (no MLflow / no AutoML)
11,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 2}",11.276056476712466,22.911268500000006,151.48211190000075,Manual Grid Search (no MLflow / no AutoML)
12,random_forest,"{'n_estimators': 300, 'max_depth': 10, 'min_samples_leaf': 4}",11.104514613785057,22.83833290000257,174.32044480000332,Manual Grid Search (no MLflow / no AutoML)
13,random_forest,"{'n_estimators': 300, 'max_depth': 14, 'min_samples_leaf': 1}",10.900478518042213,32.87318210000012,207.19362690000344,Manual Grid Search (no MLflow / no AutoML)
14,random_forest,"{'n_estimators': 300, 'max_depth': 14, 'min_samples_leaf': 2}",10.855906029168299,30.890371499997855,238.0839984000013,Manual Grid Search (no MLflow / no AutoML)
15,random_forest,"{'n_estimators': 300, 'max_depth': 14, 'min_samples_leaf': 4}",10.67799827788672,31.835094900001423,269.9190933000027,Manual Grid Search (no MLflow / no AutoML)
16,random_forest,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1}",10.9648324627942,50.223283499999525,320.14237680000224,Manual Grid Search (no MLflow / no AutoML)
17,random_forest,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 2}",10.815650068388848,43.36654400000043,363.50892080000267,Manual Grid Search (no MLflow / no AutoML)
18,random_forest,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 4}",10.611571235150102,38.12135169999965,401.6302725000023,Manual Grid Search (no MLflow / no AutoML)
19,ridge,{'alpha': 0.1},8.417321279150189,0.057311699998535914,401.68758420000086,Manual Grid Search (no MLflow / no AutoML)
20,ridge,{'alpha': 1.0},8.396578168154482,0.05984030000036,401.7474245000012,Manual Grid Search (no MLflow / no AutoML)
21,ridge,{'alpha': 10.0},8.314586217086138,0.07142010000097798,401.8188446000022,Manual Grid Search (no MLflow / no AutoML)
22,ridge,{'alpha': 100.0},9.044730093713525,0.0662380999965535,401.88508269999875,Manual Grid Search (no MLflow / no AutoML)
1,random_forest,"{'bootstrap': True, 'ccp_alpha': 0.0, 'criterion': 'squared_error', 'max_depth': 14, 'max_features': 1.0, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'monotonic_cst': None, 'n_estimators': 300, 'n_jobs': -1, 'oob_score': True, 'random_state': 42, 'verbose': 0, 'warm_start': False}",10.900478518042213,21.648747499999445,21.648747499999445,AutoML (ml605_pipeline.automl)
